year,population,gdp,cement_co2_per_capita,co2,co2_growth_abs,co2_including_luc_growth_abs,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2_per_capita,energy_per_capita,flaring_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2_per_capita,methane_per_capita,nitrous_oxide_per_capita,oil_co2_per_capita,primary_energy_consumption,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf
2022,38949.0,527383008.0,0.0,0.286,0.007,1.712,13.81,20.47,0.641,0.366,0.542,0.157,0.366,25680.953,0.0,0.788,42.372,13.445,7.365,6.61,0.0,43.601,0.001,0.001,0.0,33.122,0.616
2023,38978.0,527383008.0,0.0,0.286,0.007,1.712,13.81,20.47,0.641,0.366,0.542,0.157,0.366,25680.953,0.0,0.788,42.372,13.445,7.365,6.61,0.0,43.601,0.001,0.001,0.0,33.122,0.616
1950,781691.0,527383008.0,0.0,0.286,0.007,1.712,13.81,20.47,0.641,0.366,0.542,0.157,0.366,25680.953,0.0,0.788,42.372,13.445,7.365,6.61,0.0,43.601,0.001,0.001,0.0,33.122,0.616
1951,794329.0,549932992.0,0.0,0.293,0.007,1.712,15.746,22.743,0.641,0.369,0.533,0.157,0.369,25680.953,0.0,0.797,53.876,15.377,7.454,6.773,0.0,43.601,0.001,0.001,0.0,42.795,0.633
1952,807094.0,575918976.0,0.0,0.3,0.007,2.403,18.474,25.889,0.641,0.372,0.522,0.157,0.372,25680.953,0.0,0.806,61.088,18.101,7.551,6.936,0.0,43.601,0.001,0.001,0.0,49.304,0.651
1953,820278.0,603174016.0,0.0,0.304,0.004,1.775,20.34,27.662,0.641,0.371,0.504,0.157,0.371,25680.953,0.0,0.81,65.543,19.97,7.651,7.096,0.0,43.601,0.001,0.001,0.0,53.764,0.665
1954,834024.0,632592000.0,0.0,0.487,0.183,2.165,22.601,29.797,0.641,0.584,0.77,0.157,0.375,25680.953,0.0,1.032,70.469,22.016,7.752,7.251,0.209,43.601,0.001,0.001,0.0,58.773,0.861
1955,848686.0,663384000.0,0.0,0.59,0.103,3.937,26.85,34.349,0.641,0.695,0.889,0.157,0.38,25680.953,0.0,1.149,77.466,26.155,7.849,7.398,0.315,43.601,0.001,0.001,0.0,65.744,0.975
1956,868487.0,698220032.0,0.0,0.689,0.099,7.862,35.29,43.895,0.641,0.793,0.987,0.157,0.447,25680.953,0.0,1.271,85.379,34.497,7.924,7.5,0.346,43.601,0.001,0.001,0.0,74.151,1.104
1957,893240.0,736470016.0,0.0,0.762,0.073,4.691,39.563,47.985,0.641,0.853,1.035,0.157,0.488,25680.953,0.0,1.347,88.913,38.71,7.961,7.56,0.365,43.601,0.001,0.001,0.0,79.42,1.203
1958,919297.0,776536000.0,0.0,1.136,0.374,9.347,48.61,57.546,0.641,1.236,1.463,0.157,0.772,25680.953,0.0,1.824,90.277,47.374,8.079,7.609,0.464,43.601,0.001,0.001,0.0,82.992,1.676
1959,947419.0,822164992.0,0.0,1.345,0.209,-1.26,45.837,52.82,0.641,1.419,1.636,0.157,0.888,25680.953,0.0,2.055,81.749,44.418,8.153,7.641,0.531,43.601,0.001,0.001,0.0,77.451,1.947
1960,977602.0,870960000.0,0.0,1.293,-0.051,-13.425,30.689,34.447,0.641,1.323,1.485,0.157,0.817,25680.953,0.0,1.944,62.833,29.366,8.17,7.659,0.506,43.601,0.001,0.001,0.0,61.426,1.901
1961,1009291.0,922097984.0,0.0,1.392,0.099,3.437,33.131,36.264,0.641,1.38,1.51,0.157,0.879,25680.953,0.0,2.032,59.791,31.751,8.504,7.636,0.501,43.601,0.001,0.001,0.0,60.347,2.051
1962,1041446.0,975660032.0,0.0,1.971,0.579,-2.878,29.345,31.323,0.641,1.893,2.02,0.157,1.365,25680.953,0.0,2.745,53.837,27.452,7.627,7.06,0.528,43.601,0.001,0.001,0.0,56.068,2.858
1963,1071366.0,1026876032.0,0.0,1.601,-0.37,5.147,33.33,34.774,0.641,1.495,1.559,0.157,0.958,25680.953,0.0,2.2,54.854,31.835,7.39,6.917,0.537,43.601,0.001,0.001,0.0,58.768,2.357
1964,1100236.0,1089646976.0,0.0,2.045,0.443,-8.771,24.484,24.722,0.641,1.858,1.876,0.157,1.282,25680.953,0.0,2.713,45.885,22.625,7.734,6.907,0.576,43.601,0.001,0.001,0.0,50.484,2.985
1965,1131184.0,1152130048.0,0.0,1.957,-0.088,1.988,25.571,25.106,0.641,1.73,1.698,0.157,1.186,25680.953,0.0,2.561,46.205,23.841,7.706,6.795,0.544,43.601,0.001,0.002,0.0,52.266,2.897
1966,1163761.0,1216353024.0,0.0,1.953,-0.004,-2.744,22.497,21.525,0.641,1.678,1.606,0.157,1.151,25680.953,0.0,2.509,43.2,20.819,7.767,6.716,0.527,43.601,0.001,0.002,0.0,50.274,2.92
1967,1196997.0,1290300032.0,0.021,2.151,0.198,-3.208,19.192,17.805,0.641,1.797,1.667,0.157,1.2,25680.953,0.0,2.668,39.191,17.396,7.407,6.428,0.575,43.601,0.001,0.002,0.0,46.911,3.193
1968,1229931.0,1362873984.0,0.03,2.48,0.33,-1.538,17.428,15.728,0.641,2.017,1.82,0.157,1.382,25680.953,0.0,2.995,36.77,15.411,7.243,6.222,0.605,43.601,0.001,0.002,0.0,45.225,3.683
1969,1262292.0,1443446016.0,0.029,2.682,0.202,0.435,17.325,15.151,0.641,2.125,1.858,0.157,1.486,25680.953,0.0,3.177,35.448,15.201,6.882,5.921,0.61,43.601,0.001,0.002,0.0,44.746,4.01
1970,1295276.0,1530048000.0,0.036,2.847,0.165,1.622,18.137,15.354,0.641,2.198,1.86,0.157,1.528,25680.953,0.0,2.664,34.956,15.939,6.25,5.845,0.634,43.601,0.001,0.002,0.0,45.277,3.451
1971,1330077.0,1598617984.0,0.035,3.032,0.186,-2.513,15.773,13.123,0.641,2.28,1.897,0.157,1.572,25680.953,0.0,2.745,32.625,13.493,6.343,5.813,0.673,43.601,0.001,0.002,0.0,43.394,3.651
1972,1366829.0,1659175936.0,0.048,3.276,0.243,0.95,16.044,13.217,0.641,2.397,1.974,0.157,1.643,25680.953,0.0,2.836,32.446,13.647,6.203,5.669,0.705,43.601,0.001,0.002,0.0,44.348,3.876
1973,1405506.0,1806080000.0,0.049,3.472,0.196,0.23,15.766,12.269,0.641,2.47,1.922,0.157,1.661,25680.953,0.0,2.928,31.997,13.296,6.124,5.552,0.761,43.601,0.001,0.002,0.0,44.971,4.116
1974,1446054.0,1882825984.0,0.053,3.741,0.269,0.731,15.83,12.158,0.641,2.587,1.987,0.157,1.731,25680.953,0.0,3.053,31.43,13.243,6.017,5.423,0.803,43.601,0.001,0.002,0.0,45.45,4.415
1975,1488300.0,2005602048.0,0.048,4.055,0.314,-0.915,14.766,10.957,0.641,2.724,2.022,0.157,1.873,25680.953,0.0,3.223,28.916,12.041,6.086,5.363,0.803,43.601,0.001,0.002,0.0,43.035,4.796
1976,1531952.0,2083287040.0,0.046,4.39,0.335,7.142,19.007,13.977,0.641,2.866,2.107,0.157,1.975,25680.953,0.0,3.375,31.255,16.142,5.994,5.24,0.845,43.601,0.001,0.002,0.0,47.882,5.17
1977,1576247.0,2246159872.0,0.028,4.961,0.571,-0.429,18.201,12.772,0.641,3.147,2.209,0.157,2.236,25680.953,0.0,3.692,29.622,15.053,5.787,5.059,0.883,43.601,0.001,0.002,0.0,46.691,5.819
1978,1619479.0,2416164096.0,0.043,5.764,0.803,-2.004,16.477,11.044,0.641,3.559,2.386,0.157,2.486,25680.953,0.0,4.139,27.547,12.918,5.579,4.875,1.029,43.601,0.001,0.002,0.0,44.613,6.703
1979,1660661.0,2516051968.0,0.045,6.277,0.514,-1.344,15.259,10.071,0.641,3.78,2.495,0.157,2.685,25680.953,0.0,4.354,26.132,11.479,5.601,4.833,1.05,43.601,0.001,0.002,0.0,43.396,7.231
1980,1701341.0,2677789952.0,0.041,6.855,0.578,2.589,16.416,10.43,0.641,4.029,2.56,0.157,2.886,25680.953,0.0,4.606,27.038,12.387,5.48,4.734,1.103,43.601,0.001,0.002,0.0,46.001,7.836
1981,1742856.0,2903515904.0,0.047,6.615,-0.24,1.018,16.609,9.97,0.785,3.795,2.278,0.179,2.601,21203.541,0.0,4.352,26.952,12.814,5.204,4.585,1.148,36.878,0.001,0.002,0.0,46.974,7.585
1982,1785364.0,3145476096.0,0.074,6.712,0.098,1.11,16.836,9.556,0.653,3.76,2.134,0.146,2.522,25851.371,0.0,4.366,28.296,13.076,5.16,4.528,1.164,46.062,0.001,0.002,0.0,50.518,7.794
1983,1829092.0,3328024064.0,0.032,6.969,0.257,-3.145,14.714,8.087,0.575,3.81,2.094,0.149,2.58,25632.742,0.0,4.399,25.581,10.904,5.106,4.465,1.198,46.8,0.001,0.002,0.0,46.789,8.046
1984,1874355.0,3523040000.0,0.026,6.425,-0.544,-0.064,14.324,7.621,0.58,3.428,1.824,0.139,2.925,24734.777,0.0,4.024,24.534,10.897,4.913,4.284,0.477,46.295,0.001,0.002,0.0,45.985,7.543
1985,1921519.0,3725435904.0,0.026,8.998,2.573,1.943,14.984,7.728,0.529,4.683,2.415,0.165,3.427,28329.633,0.0,5.347,25.769,10.301,4.779,4.179,1.229,54.386,0.001,0.002,0.0,49.515,10.274
1986,1970967.0,4076226048.0,0.072,9.595,0.597,-1.289,13.954,6.747,0.465,4.868,2.354,0.162,3.577,30051.963,0.0,5.566,25.659,9.086,4.737,4.061,1.219,59.2,0.001,0.002,0.0,50.573,10.97
1987,2022803.0,4221095936.0,0.087,10.483,0.887,3.492,15.323,7.343,0.501,5.182,2.483,0.169,3.803,30621.645,0.0,5.927,27.562,10.141,4.737,3.989,1.292,61.902,0.002,0.002,0.0,55.753,11.99
1988,2076327.0,4436184064.0,0.075,11.493,1.01,-1.866,14.029,6.566,0.447,5.535,2.591,0.177,4.167,31394.029,0.0,6.298,26.816,8.494,4.667,3.918,1.293,65.104,0.002,0.002,0.0,55.678,13.077
1989,2124189.0,4620239872.0,0.073,10.459,-1.034,-1.939,12.8,5.885,0.44,4.924,2.264,0.169,3.695,29109.637,0.0,5.67,24.94,7.877,4.637,3.843,1.156,61.737,0.002,0.002,0.0,52.978,12.044
1990,2164578.0,4502882816.0,0.06,9.791,-0.668,-2.599,11.361,5.461,0.431,4.523,2.174,0.171,3.375,26418.062,0.0,5.215,24.022,6.837,4.722,3.851,1.088,57.101,0.002,0.002,0.0,51.998,11.288
1991,2202771.0,4287970048.0,0.038,11.96,2.169,2.131,12.131,6.232,0.451,5.429,2.789,0.202,4.617,26932.641,0.0,6.458,23.39,6.702,5.144,3.859,0.773,59.254,0.002,0.002,0.0,51.522,14.226
1992,2239129.0,4068637440.0,0.022,10.943,-1.017,-1.699,11.176,6.15,0.473,4.887,2.69,0.207,4.106,23671.002,0.0,5.799,21.125,6.289,4.897,3.759,0.759,52.94,0.002,0.002,0.0,47.303,12.986
1993,2273514.0,4139237888.0,0.011,9.193,-1.75,-7.248,7.818,4.294,0.366,4.044,2.221,0.189,3.34,21398.938,0.0,4.842,16.466,3.775,4.667,3.684,0.693,48.582,0.002,0.002,0.0,37.437,11.009
1994,2305742.0,4442844160.0,0.014,7.865,-1.328,0.284,7.832,4.065,0.399,3.411,1.77,0.174,2.949,19678.449,0.0,4.135,16.399,4.421,4.485,3.584,0.448,45.29,0.002,0.002,0.0,37.812,9.535
1995,2335717.0,4952892928.0,0.017,7.837,-0.028,-1.148,7.24,3.414,0.392,3.355,1.582,0.182,2.929,18526.109,0.0,4.066,16.474,3.885,4.729,3.662,0.409,43.172,0.002,0.002,0.0,38.478,9.498
1996,2363470.0,5318281216.0,0.017,7.935,0.098,4.665,9.129,4.057,0.485,3.358,1.492,0.179,2.89,18857.643,0.0,3.792,53.392,5.772,4.683,3.724,0.451,44.448,0.002,0.002,0.0,126.191,8.961
1997,2389131.0,5799569920.0,0.017,7.615,-0.32,3.572,10.527,4.336,0.619,3.187,1.313,0.188,2.731,17051.783,0.0,3.606,33.514,7.339,4.868,3.853,0.439,40.614,0.002,0.002,0.0,80.069,8.616
1998,2412793.0,6297035264.0,0.017,7.622,0.006,-3.446,8.995,3.447,0.525,3.159,1.21,0.184,2.667,17177.256,0.0,3.568,27.129,5.836,4.954,3.833,0.475,41.314,0.002,0.002,0.0,65.458,8.609
1999,2434044.0,6816929792.0,0.016,7.488,-0.134,0.1,8.958,3.198,0.525,3.076,1.098,0.18,2.588,17113.32,0.0,3.492,23.766,5.882,5.113,3.862,0.473,41.56,0.002,0.002,0.0,57.846,8.499
2000,2455184.0,7225650176.0,0.014,7.432,-0.056,5.628,11.173,3.796,0.633,3.027,1.029,0.171,2.499,17691.607,0.0,3.466,21.524,8.146,5.152,3.911,0.514,43.362,0.002,0.002,0.0,52.846,8.51
2001,2477704.0,7799420416.0,0.01,7.804,0.372,-4.219,9.369,2.976,0.536,3.15,1.001,0.18,2.565,17502.184,0.0,3.594,17.797,6.219,4.404,3.537,0.574,43.276,0.002,0.002,0.0,44.096,8.905
2002,2500075.0,8569503232.0,0.022,8.197,0.393,-7.503,6.283,1.833,0.34,3.279,0.956,0.178,2.71,18501.777,0.0,3.746,11.955,3.005,3.586,3.261,0.547,46.155,0.002,0.002,0.0,29.889,9.365
2003,2521811.0,9616040960.0,0.024,7.931,-0.266,-1.135,5.779,1.516,0.333,3.145,0.825,0.181,2.53,17411.361,0.0,3.622,9.857,2.634,3.573,3.258,0.591,43.815,0.002,0.002,0.0,24.858,9.134
2004,2542800.0,11156312064.0,0.022,8.501,0.57,-0.064,5.706,1.301,0.337,3.343,0.762,0.198,2.671,16947.145,0.0,3.826,9.192,2.363,3.4,3.186,0.65,43.011,0.002,0.002,0.0,23.373,9.729
2005,2563466.0,12547450880.0,0.029,8.515,0.014,0.294,5.775,1.18,0.332,3.322,0.679,0.191,2.657,17428.029,0.0,4.524,12.976,2.453,4.416,3.314,0.636,44.603,0.002,0.002,0.0,33.263,11.598
2006,2584762.0,14288905216.0,0.034,9.281,0.766,-0.133,5.676,1.027,0.305,3.591,0.65,0.193,2.852,18611.67,0.0,4.912,11.555,2.085,4.876,3.508,0.705,48.041,0.002,0.002,0.0,29.866,12.696
2007,2607977.0,16520107008.0,0.043,11.958,2.677,4.842,7.482,1.181,0.387,4.585,0.724,0.237,3.67,19353.18,0.0,6.153,13.564,2.897,5.574,3.762,0.872,50.428,0.002,0.002,0.0,35.374,16.047
2008,2634431.0,18865760256.0,0.047,11.918,-0.04,3.639,8.788,1.227,0.465,4.524,0.632,0.239,3.544,18919.375,0.0,6.162,15.038,4.264,5.65,3.747,0.933,49.832,0.002,0.002,0.0,39.616,16.234
2009,2665331.0,19534581760.0,0.037,13.026,1.109,0.23,8.772,1.197,0.463,4.887,0.667,0.258,3.993,18920.904,0.0,7.477,16.167,3.885,6.621,3.706,0.856,50.457,0.002,0.002,0.0,43.089,19.928
2010,2701738.0,21791068160.0,0.063,13.772,0.746,2.241,9.484,1.176,0.521,5.098,0.632,0.28,4.138,18202.299,0.0,9.621,17.429,4.386,7.624,3.216,0.896,49.192,0.002,0.003,0.0,47.088,25.994
2011,2745182.0,26811267072.0,0.057,21.368,7.596,7.066,11.908,1.219,0.638,7.784,0.797,0.417,6.631,18659.32,0.0,13.232,20.909,4.124,8.932,3.485,1.096,51.2,0.002,0.003,0.0,57.4,36.325
2012,2795463.0,30114910208.0,0.056,35.0,13.632,12.329,16.104,1.495,0.818,12.52,1.162,0.636,11.231,19704.566,0.005,17.236,25.462,3.583,8.558,3.66,1.228,55.022,0.002,0.003,0.0,71.179,48.183
2013,2851887.0,33619040256.0,0.034,43.478,8.478,7.725,18.494,1.569,0.903,15.245,1.293,0.745,13.952,20521.99,0.005,19.652,27.593,3.248,8.475,3.674,1.254,58.388,0.002,0.003,0.0,78.692,56.045
2014,2913041.0,36271697920.0,0.063,29.626,-13.852,-14.052,13.282,1.067,0.677,10.17,0.817,0.518,8.93,19699.537,0.009,14.593,23.197,3.112,9.05,3.897,1.168,57.184,0.002,0.003,0.0,67.573,42.51
2015,2976528.0,37107212288.0,0.061,23.282,-6.344,-7.083,10.619,0.852,0.556,7.822,0.627,0.409,6.617,19182.596,0.012,11.431,20.618,2.797,8.604,4.042,1.131,56.872,0.002,0.003,0.0,61.37,34.026
2016,3040815.0,37322350592.0,0.063,25.629,2.347,1.96,11.039,0.899,0.563,8.428,0.687,0.43,7.41,19692.092,0.005,13.597,23.061,2.611,10.433,4.097,0.949,59.658,0.002,0.003,0.0,70.123,41.345
2017,3104371.0,39053688832.0,0.096,34.135,8.506,8.247,13.469,1.071,0.642,10.996,0.874,0.524,9.687,21043.662,0.002,17.152,26.86,2.474,11.637,4.17,1.211,65.152,0.002,0.003,0.0,83.384,53.247
2018,3167714.0,41646694400.0,0.131,45.316,11.18,11.064,16.693,1.27,0.743,14.305,1.088,0.637,12.926,22486.172,0.001,20.72,31.582,2.387,11.77,4.07,1.248,71.146,0.002,0.003,0.0,100.041,65.636
2019,3232119.0,43979841536.0,0.151,47.244,1.928,1.704,16.887,1.241,0.695,14.617,1.074,0.602,12.92,24279.391,0.0,21.189,31.509,2.27,12.213,4.21,1.546,78.482,0.002,0.003,0.0,101.84,68.485
2020,3290788.0,41975349248.0,0.159,37.073,-10.17,-10.457,13.409,1.051,0.657,11.266,0.883,0.552,9.599,20376.916,0.0,16.963,26.42,2.143,11.05,3.994,1.508,67.128,0.002,0.003,0.0,86.943,55.822
2021,3339678.0,42662391808.0,0.172,41.852,4.779,4.721,14.626,1.145,0.651,12.532,0.981,0.558,10.922,22407.674,0.0,16.93,26.482,2.094,9.792,3.988,1.438,75.016,0.002,0.003,0.0,88.441,56.542
2022,3386015.0,44809465856.0,0.169,43.415,1.562,1.414,14.843,1.122,0.651,12.822,0.969,0.558,11.2,22407.674,0.0,17.098,26.868,2.022,9.787,4.07,1.453,75.016,0.002,0.003,0.0,90.974,57.895
2023,3431939.0,44809465856.0,0.167,46.87,3.455,3.39,15.633,1.122,0.651,13.657,0.969,0.558,12.025,22407.674,0.0,17.278,27.01,1.976,9.112,4.02,1.464,75.016,0.002,0.003,0.0,92.698,59.296
1950,402518.0,738279872.0,0.0,0.269,-0.011,1.209,9.467,5.992,-0.061,0.668,0.346,0.134,0.63,24270.525,0.0,0.896,8.229,8.799,1.745,0.306,0.039,15.352,0.0,0.0,0.0,3.312,0.361
1951,410084.0,738279872.0,0.0,0.255,-0.014,0.356,10.162,5.992,-0.061,0.621,0.346,0.134,0.584,24270.525,0.0,0.847,8.588,9.541,1.749,0.308,0.037,15.352,0.0,0.0,0.0,3.522,0.347
1952,418912.0,738279872.0,0.0,0.256,0.001,0.256,10.56,5.992,-0.061,0.61,0.346,0.134,0.584,24270.525,0.0,0.836,8.923,9.949,1.762,0.309,0.027,15.352,0.0,0.0,0.0,3.738,0.35
1953,427489.0,658542784.0,0.0,0.254,-0.002,0.089,10.555,6.852,-0.061,0.594,0.386,0.134,0.551,24270.525,0.0,0.821,8.818,9.961,1.783,0.311,0.043,15.352,0.0,0.0,0.0,3.77,0.351
1954,434373.0,672027776.0,0.0,0.303,0.049,-0.006,10.374,6.705,-0.061,0.697,0.451,0.134,0.651,24270.525,0.0,0.926,8.87,9.676,1.81,0.315,0.046,15.352,0.0,0.0,0.0,3.853,0.402
1955,440594.0,906050112.0,0.0,0.347,0.044,-0.198,9.777,4.754,-0.061,0.787,0.383,0.134,0.741,24270.525,0.0,1.018,8.456,8.99,1.836,0.32,0.047,15.352,0.0,0.0,0.0,3.726,0.449
1956,446694.0,833396608.0,0.0,0.397,0.05,-0.005,9.633,5.163,-0.061,0.888,0.476,0.134,0.836,24270.525,0.0,1.12,8.457,8.745,1.858,0.325,0.052,15.352,0.0,0.0,0.0,3.778,0.501
1957,452750.0,941011648.0,0.0,0.431,0.034,0.041,9.595,4.616,-0.061,0.951,0.458,0.134,0.89,24270.525,0.0,1.185,8.6,8.644,1.875,0.33,0.061,15.352,0.0,0.0,0.0,3.894,0.536
1958,458808.0,929082752.0,0.0,0.424,-0.006,-0.208,9.014,4.451,-0.061,0.925,0.457,0.134,0.861,24270.525,0.0,1.159,8.189,8.089,1.889,0.335,0.064,15.352,0.0,0.0,0.0,3.757,0.532
1959,464906.0,1000887808.0,0.0,0.487,0.062,0.366,9.682,4.497,-0.061,1.047,0.486,0.134,0.971,24270.525,0.0,1.281,8.625,8.635,1.903,0.34,0.076,15.352,0.0,0.0,0.0,4.01,0.595
1960,471204.0,1125566848.0,0.0,0.531,0.045,-1.0,7.431,3.111,-0.061,1.128,0.472,0.134,1.038,24270.525,0.0,1.362,7.327,6.303,1.921,0.345,0.09,15.352,0.0,0.0,0.0,3.452,0.642
1961,477833.0,1367533952.0,0.0,0.557,0.026,-0.463,6.359,2.222,-0.061,1.166,0.407,0.134,1.075,24270.525,0.0,1.396,6.822,5.193,1.962,0.372,0.09,15.352,0.0,0.0,0.0,3.26,0.667
1962,484444.0,1350981248.0,0.0,0.572,0.015,-0.355,5.539,1.986,-0.061,1.18,0.423,0.134,1.08,24270.525,0.0,1.408,6.339,4.359,1.957,0.382,0.1,15.352,0.0,0.0,0.0,3.071,0.682
1963,490789.0,1544307968.0,0.0,0.636,0.064,-0.049,5.368,1.706,-0.061,1.296,0.412,0.134,1.179,24270.525,0.0,1.522,6.039,4.072,1.786,0.375,0.117,15.352,0.0,0.0,0.0,2.964,0.747
1964,496937.0,1815759872.0,0.0,0.721,0.085,-0.131,5.037,1.379,-0.061,1.45,0.397,0.134,1.309,24270.525,0.0,1.674,5.82,3.587,1.704,0.379,0.141,15.352,0.0,0.0,0.0,2.892,0.832
1965,502896.0,1866975872.0,0.0,0.741,0.021,-0.151,4.676,1.26,-0.061,1.474,0.397,0.134,1.292,24270.525,0.0,1.696,5.602,3.202,1.704,0.387,0.182,15.352,0.0,0.0,0.0,2.817,0.853
1966,508637.0,1960336000.0,0.0,0.735,-0.007,-0.161,4.306,1.117,-0.061,1.444,0.375,0.134,1.23,24270.525,0.0,1.664,5.417,2.862,1.747,0.405,0.214,15.352,0.0,0.0,0.0,2.755,0.846
1967,514098.0,2001634816.0,0.0,0.742,0.007,-0.248,3.778,0.97,-0.061,1.443,0.371,0.134,1.155,24270.525,0.0,1.66,5.071,2.334,1.773,0.419,0.289,15.352,0.0,0.0,0.0,2.607,0.854
1968,519311.0,2102971520.0,0.0,0.794,0.052,-0.142,3.466,0.856,-0.061,1.528,0.377,0.134,1.175,24270.525,0.0,1.743,4.845,1.938,1.748,0.432,0.353,15.352,0.0,0.0,0.0,2.516,0.905
1969,524441.0,2318464512.0,0.0,0.823,0.029,-0.163,3.121,0.706,-0.061,1.569,0.355,0.134,1.175,24270.525,0.0,1.782,4.448,1.552,1.626,0.43,0.394,15.352,0.0,0.0,0.0,2.332,0.935
1970,529677.0,2498790400.0,0.0,1.075,0.252,0.037,3.16,0.67,-0.061,2.03,0.43,0.134,1.505,24270.525,0.0,2.589,4.993,1.13,1.923,0.403,0.525,15.352,0.0,0.0,0.0,2.645,1.371
1971,535113.0,2596450560.0,0.0,1.159,0.084,-0.015,3.1,0.639,-0.061,2.166,0.446,0.134,1.641,24270.525,0.0,2.736,5.09,0.934,1.952,0.419,0.524,15.352,0.0,0.0,0.0,2.724,1.464
1972,540705.0,2747091712.0,0.0,1.086,-0.073,-0.329,2.46,0.484,-0.061,2.009,0.395,0.134,1.537,24270.525,0.0,2.569,4.59,0.451,1.945,0.417,0.472,15.352,0.0,0.0,0.0,2.482,1.389
1973,546269.0,2745526272.0,0.0,1.298,0.211,0.11,2.636,0.524,-0.061,2.375,0.473,0.134,1.585,24270.525,0.0,2.948,4.869,0.26,1.969,0.43,0.791,15.352,0.0,0.0,0.0,2.66,1.611
1974,551745.0,2924740096.0,0.0,1.303,0.006,-0.149,2.34,0.441,-0.061,2.362,0.446,0.134,1.602,24270.525,0.0,2.959,4.738,-0.022,2.04,0.45,0.76,15.352,0.0,0.0,0.0,2.614,1.633
1975,557155.0,3026087936.0,0.0,1.36,0.057,-0.007,2.305,0.424,-0.061,2.441,0.449,0.134,1.693,24270.525,0.0,3.047,4.87,-0.136,2.099,0.448,0.747,15.352,0.0,0.0,0.0,2.713,1.698
1976,562637.0,3183128576.0,0.0,1.404,0.044,-0.138,2.038,0.36,-0.061,2.495,0.441,0.134,1.689,24270.525,0.0,3.1,4.639,-0.456,2.073,0.45,0.805,15.352,0.0,0.0,0.0,2.61,1.744
1977,568095.0,3527339776.0,0.0,1.365,-0.039,0.09,2.177,0.351,-0.061,2.403,0.387,0.134,1.591,24270.525,0.0,3.02,4.718,-0.226,2.043,0.45,0.811,15.352,0.0,0.0,0.0,2.68,1.716
1978,573523.0,3723088128.0,0.0,1.525,0.16,-0.075,2.025,0.312,-0.061,2.66,0.41,0.134,1.655,24270.525,0.0,3.271,4.654,-0.635,2.016,0.448,1.004,15.352,0.0,0.0,0.0,2.669,1.876
1979,579016.0,3724750336.0,0.0,1.659,0.134,0.498,2.866,0.446,-0.061,2.865,0.445,0.134,1.736,24270.525,0.0,3.481,5.28,0.001,1.98,0.445,1.129,15.352,0.0,0.0,0.0,3.057,2.016
1980,584830.0,4475520000.0,0.0,1.631,-0.028,-0.248,2.413,0.315,-0.061,2.79,0.365,0.134,1.69,24270.525,0.005,3.401,4.849,-0.377,1.946,0.43,1.095,15.352,0.0,0.0,0.0,2.836,1.989
1981,589917.0,4276287232.0,0.0,1.775,0.144,0.057,2.488,0.343,-0.061,3.01,0.415,0.134,2.185,24270.525,0.005,3.648,5.048,-0.522,1.966,0.438,0.82,15.352,0.0,0.0,0.0,2.978,2.152
1982,593634.0,4382248960.0,0.0,1.631,-0.144,-0.106,2.293,0.311,-0.061,2.748,0.372,0.134,1.909,24270.525,0.005,3.407,4.919,-0.454,1.997,0.433,0.834,15.352,0.0,0.0,0.0,2.92,2.023
1983,596961.0,4305015296.0,0.0,1.756,0.125,0.137,2.51,0.348,-0.061,2.942,0.408,0.134,2.121,24270.525,0.004,3.623,5.158,-0.432,2.0,0.425,0.817,15.352,0.0,0.0,0.0,3.079,2.162
1984,600259.0,4371068928.0,0.0,1.852,0.096,0.058,2.593,0.356,-0.061,3.086,0.424,0.134,2.299,24270.525,0.004,3.788,5.294,-0.493,2.01,0.442,0.783,15.352,0.0,0.0,0.0,3.177,2.274
1985,603506.0,4374625792.0,0.0,1.889,0.037,0.185,2.885,0.398,-0.061,3.131,0.432,0.134,2.347,24270.525,0.005,3.837,5.479,-0.245,1.978,0.421,0.779,15.352,0.0,0.0,0.0,3.306,2.316
1986,606803.0,4528319488.0,0.0,1.973,0.084,-0.005,2.861,0.383,-0.061,3.252,0.436,0.134,2.39,24270.525,0.005,3.952,5.432,-0.391,1.932,0.409,0.857,15.352,0.0,0.0,0.0,3.296,2.398
1987,610181.0,4323439104.0,0.0,1.927,-0.047,-0.042,2.776,0.392,-0.061,3.157,0.446,0.134,2.339,24270.525,0.005,3.846,5.329,-0.381,1.924,0.397,0.813,15.352,0.0,0.0,0.0,3.251,2.347
1988,613592.0,4192552960.0,0.0,1.988,0.061,0.093,2.912,0.426,-0.061,3.24,0.474,0.134,2.358,24270.525,0.006,3.909,5.384,-0.328,1.874,0.387,0.876,15.352,0.0,0.0,0.0,3.304,2.399
1989,617048.0,4213823744.0,0.0,1.982,-0.006,0.015,2.919,0.428,-0.061,3.212,0.47,0.134,2.374,24270.525,0.006,3.877,5.346,-0.292,1.828,0.37,0.832,15.352,0.0,0.0,0.0,3.299,2.393
