year,population,gdp,primary_energy_consumption,oil_co2,coal_co2,cement_co2,temperature_change_from_ghg,co2
1992,3282506,8745674752,24.674,1.416,0.8,0.103,0,2.517
1993,3277830,9636341760,21.638,1.478,0.6,0.103,0,2.338
1994,3269417,10596114432,20.567,1.605,0.169,0.052,0,1.924
1995,3258571,11600732160,22.728,1.773,0.161,0.103,0,2.089
1996,3245681,12468868096,25.011,1.755,0.114,0.105,0,2.018
1997,3229665,11020137472,22.844,1.411,0.044,0.052,0,1.543
1998,3210133,12026242048,24.572,1.623,0.055,0.044,0,1.755
1999,3188596,13673693184,22.114,2.792,0.11,0.055,0,2.986
2000,3166147,14736835584,28.732,2.84,0.07,0.094,0,3.025
2001,3147941,16103904256,27.233,3.125,0.081,0,0,3.221
2002,3134094,17037279232,29.497,3.638,0.084,0,0,3.748
2003,3118092,18171076608,33.27,3.891,0.084,0.302,0,4.303
2004,3098663,19346601984,35.487,3.759,0.084,0.3,0,4.177
2005,3076155,20562851840,35.014,3.91,0.073,0.256,0,4.261
2006,3050804,21889974272,32.967,3.54,0.073,0.276,0,3.911
2007,3022887,23259283456,28.377,3.375,0.073,0.468,0,3.949
2008,2992933,25006229504,30.991,3.796,0.103,0.484,0,4.397
2009,2961487,25821550592,33.773,3.415,0.388,0.585,0,4.407
2010,2928730,26747820032,36.061,3.492,0.429,0.838,0,4.784
2011,2911500,27431047168,31.486,3.774,0.535,0.976,0,5.315
2012,2910003,27819812864,30.81,3.155,0.627,1.039,0,4.85
2013,2907570,28098562048,38.665,3.331,0.795,1.129,0,5.287
2014,2903748,28597168128,34.06,3.856,1.029,1.045,0,6
2015,2898634,29231665152,34.083,3.338,0.322,0.954,0,4.712
2016,2897868,30200692736,39.827,3.36,0.191,0.88,0,4.632
2017,2898247,31348975616,36.863,3.808,0.275,1.011,0,5.293
2018,2894231,32609001472,42.032,3.331,0.473,0.928,0,4.895
2019,2885012,33289746432,33.296,3.44,0.322,0.928,0,4.827
2020,2871951,32130725888,31.988,2.719,0.568,1.322,0,4.711
2021,2849643,34866974720,40.253,2.863,0.857,1.312,0,5.134
2022,2827615,36171005952,40.253,2.9,0.836,1.312,0,5.173
2023,2811660,36171005952,40.253,2.928,0.789,1.312,0,5.144
1950,9018423,19350554624,24.833,1.74,1.883,0.16,0,3.784
1951,9269869,19480383488,24.833,1.869,2.041,0.222,0,4.131
1952,9521212,20349999104,24.833,1.806,1.843,0.24,0,3.889
1953,9772646,20798191616,24.833,2.197,1.548,0.255,0,3.999
1954,10014393,22019014656,24.833,2.341,1.484,0.327,0,4.152
1955,10247428,22665783296,24.833,2.678,1.594,0.334,0.001,4.607
1956,10482183,24891404288,24.833,2.911,1.761,0.323,0.001,4.995
1957,10717503,27721039872,24.833,3.21,1.975,0.353,0.001,5.537
1958,10953641,28728694784,24.833,2.986,1.81,0.418,0.001,5.214
1959,11189621,33993146368,24.833,3.723,1.462,0.472,0.001,5.657
1960,11424930,36306128896,24.833,4.371,1.257,0.523,0.001,6.151
1961,11628876,31896877056,24.833,4.31,0.765,0.53,0.001,6.056
1962,11800768,25126164480,24.833,4.134,0.406,0.432,0.001,5.661
1963,11982120,31766970368,24.833,4.126,0.253,0.436,0.001,5.419
1964,12179807,33433417728,24.833,3.781,0.282,0.389,0.001,5.643
1965,12365980,35661975552,24.833,4.179,0.264,0.367,0.001,6.589
1966,12590068,33932634112,29.833,5.972,0.271,0.327,0.001,8.421
1967,12876116,37094768640,28.247,6.091,0.19,0.36,0.001,8.432
1968,13172615,41423888384,30.345,6.536,0.202,0.429,0.001,9.05
1969,13475958,45387460608,33.539,7.868,0.451,0.469,0.001,11.263
1970,13783725,49945669632,36.759,6.837,0.971,0.458,0.001,15.059
1971,14098938,45701218304,39.733,7.617,0.901,0.476,0.001,18.65
1972,14427076,55293906944,44.648,7.258,0.649,0.458,0.002,28.323
1973,14771151,57097850880,53.251,9.376,0.821,0.498,0.002,38.277
1974,15133507,60577882112,58.909,9.607,0.7,0.465,0.002,31.877
1975,15678601,64883814400,70.37,11.291,0.791,0.469,0.002,32.001
1976,16409170,69150105600,82.102,11.035,0.586,0.688,0.002,39.131
1977,17015987,75438030848,90.213,13.868,0.605,0.874,0.002,41.845
