year,population,gdp,primary_energy_consumption,oil_co2,coal_co2,cement_co2,temperature_change_from_ghg,co2
1970,12419057,167169736704,796.027,34.676,114.424,3.06,0.008,156.913
1971,12684818,167169736704,796.027,37.636,118.976,3.115,0.008,166.382
1972,12951804,167169736704,796.027,41.219,123.656,3.124,0.008,174.945
1973,13208123,167169736704,796.027,44.872,126.589,3.159,0.008,182.211
1974,13454576,167169736704,796.027,48.804,128.796,3.194,0.009,189.013
1975,13700849,167169736704,796.027,52.129,134.076,3.248,0.009,198.545
1976,13998737,167169736704,796.027,53.864,138.904,3.126,0.009,205.999
1977,14353263,167169736704,796.027,56.318,142.523,3.016,0.009,212.812
1978,14711507,167169736704,796.027,61.368,143.985,2.835,0.01,219.919
1979,14978703,167169736704,796.027,62.187,145.429,2.576,0.01,221.583
1980,15152952,178088984576,796.027,63.382,152.571,2.447,0.01,230.187
1981,15323086,175643328512,796.027,66.524,143.622,2.335,0.01,225.503
1982,15492598,173265846272,796.027,67.247,146.51,2.121,0.01,229.666
1983,15665552,181502738432,796.027,68.194,147.577,2.042,0.011,232.714
1984,15844621,180576616448,796.027,67.603,148.827,1.916,0.011,234.585
1985,16031088,182290350080,796.027,67.1,166.709,1.767,0.011,253.065
1986,16262698,184592269312,814.251,60.874,176.029,1.66,0.011,258.059
1987,16527719,183469473792,832.595,51.448,181.544,1.519,0.011,256.619
1988,16781168,198629916672,862.957,52.281,195.431,1.372,0.011,273.668
1989,16997012,197669306368,849.496,52.592,185.85,1.211,0.011,264.541
1990,17154060,194940977152,859.425,56.224,174.96,1.015,0.011,268.173
1991,17278604,174429519872,858.537,53.053,172.459,0.804,0.011,261.066
1992,17332623,166043942912,847.475,39.998,161.639,0.699,0.012,236.131
1993,17274487,151572725760,748.154,32.821,144.463,0.353,0.012,208.217
1994,17043775,133221793792,666.421,27.376,118.959,0.169,0.012,174.933
1995,16730541,122950926336,598.716,28.389,115.983,0.098,0.012,168.286
1996,16416036,124225921024,521.202,27.954,104.428,0.016,0.011,154.505
1997,16043250,127005581312,459.578,29.517,95.23,0.047,0.011,146.425
1998,15647789,125251821568,433.003,29.571,92.467,0.01,0.011,144.283
1999,15455878,129322680320,406.961,19.008,82.604,0.007,0.011,119.265
2000,15501107,142758084608,369.747,24.186,95.888,0.002,0.011,143.38
2001,15575551,162896084992,416.192,23.191,94.084,0.158,0.011,138.769
2002,15656677,179807027200,423.944,35.154,95.936,0.027,0.011,157.525
2003,15747379,197584125952,464.691,38.996,107.128,0.001,0.011,175.855
2004,15850164,217713180672,490.623,40.839,113.473,0.346,0.011,186.356
2005,15968118,240059744256,504.625,51.2,114.203,0.355,0.011,200.042
2006,16103717,267135188992,543.391,54.973,119.93,0.476,0.011,220.575
2007,16257212,292456726528,602.888,54.883,130.464,0.597,0.011,226.745
2008,16426527,303717023744,635.432,52.088,125.724,0.984,0.011,226.831
2009,16619850,309012299776,569.006,38.988,136.786,0.933,0.012,224.55
2010,16836809,333341720576,611.195,51.174,144.713,1.025,0.012,248.803
2011,17065997,360244936704,694.016,38.942,142.33,1.066,0.012,238.988
2012,17306114,378260783104,729.853,38.757,153.52,2.321,0.012,246.345
2013,17556502,400574382080,731.605,48.945,151.774,3.031,0.012,255.165
2014,17816285,417799110656,769.111,39.208,169.38,3.238,0.012,274.29
2015,18084173,421977096192,635.91,40.164,162.679,3.457,0.012,278.661
2016,18363601,425774874624,711.327,41.637,161.584,3.525,0.013,277.696
2017,18651930,442384351232,764.926,43.554,167.008,3.819,0.013,293.476
2018,18932725,460522127360,789.197,47.361,171.593,3.893,0.013,307.174
2019,19209556,481245626368,798.712,47.309,160.088,3.802,0.013,275.29
2020,19482117,468733231104,735.937,39.694,165.769,4.45,0.013,255.486
2021,19743607,487951269888,822.205,49.533,148.46,3.841,0.014,255.143
2022,20034612,503634067456,819.283,48.716,149.123,3.841,0.014,254.414
2023,20330106,503634067456,828.086,51.769,146.571,3.841,0.014,255.161
1950,5769190,6353788928,29.387,0.791,0.117,0,0,0.909
1951,5893577,7729593856,29.387,1.33,0.051,0.011,0,1.392
1952,6033296,6871281152,29.387,1.499,0.077,0.015,0.001,1.59
1953,6183897,6706084352,29.387,1.458,0.037,0.018,0.001,1.513
1954,6348144,7485814272,29.387,1.601,0.062,0.036,0.001,1.7
1955,6529299,8046895104,29.387,1.85,0.07,0.065,0.001,1.985
1956,6727685,8492809728,29.387,2.008,0.121,0.091,0.001,2.22
1957,6944873,8766820352,29.387,2.074,0.106,0.102,0.001,2.282
1958,7174794,8876621824,29.387,1.876,0.103,0.109,0.001,2.088
1959,7422742,9083654144,29.387,1.952,0.099,0.157,0.001,2.208
1960,7695306,9437449216,29.387,2.137,0.113,0.174,0.001,2.424
1961,7987767,9194278912,29.387,2.137,0.099,0.163,0.001,2.399
1962,8299310,9693947904,29.387,2.334,0.117,0.171,0.001,2.622
1963,8627972,10193268736,29.387,2.568,0.114,0.171,0.001,2.853
1964,8973538,11171001344,29.387,2.524,0.092,0.207,0.001,2.823
1965,9338084,11306227712,29.387,2.078,0.146,0.24,0.001,2.464
1966,9717825,12763548672,29.387,2.311,0.128,0.24,0.001,2.68
1967,10111061,13422221312,29.387,2.33,0.132,0.236,0.001,2.698
1968,10518827,14387243008,29.387,2.437,0.11,0.269,0.001,2.815
1969,10939696,15286659072,29.387,2.726,0.084,0.317,0.001,3.126
1970,11368805,16398391296,29.387,2.466,0.22,0.393,0.001,3.078
1971,11788906,17449545728,29.387,3.07,0.216,0.393,0.001,3.679
1972,12206063,18356252672,29.387,3.364,0.106,0.396,0.001,3.866
1973,12634840,19297255424,29.387,3.334,0.187,0.393,0.001,3.914
1974,13070077,20244865024,29.387,4.346,0.176,0.422,0.001,4.944
1975,13511670,20176988160,29.387,4.404,0.121,0.444,0.001,4.969
1976,13957620,20969009152,29.387,3.946,0.169,0.488,0.001,4.603
1977,14428822,22910638080,29.387,4.313,0.169,0.568,0.001,5.049
1978,14934127,24971966464,29.387,4.621,0.139,0.557,0.001,5.317
1979,15460669,25904605184,29.387,4.566,0.044,0.423,0.001,5.032
1980,16018464,27353659392,29.387,5.511,0.048,0.631,0.001,6.189
1981,16601509,27977957376,29.528,5.635,0.238,0.646,0.001,6.519
1982,17206178,29668749312,29.516,3.953,0.088,0.646,0.001,4.687
1983,17846373,29852176384,28.945,3.775,0.245,0.635,0.001,4.655
1984,18514909,30366042112,28.655,3.422,0.315,0.577,0.001,4.314
1985,19201773,31697426432,30.147,3.114,0.231,0.42,0.001,3.765
1986,19901641,33951057920,31.651,3.279,0.227,0.651,0.002,4.157
1987,20616091,35990433792,29.038,4.266,0.245,0.658,0.002,5.169
1988,21356221,38155534336,33.023,3.866,0.3,0.618,0.002,4.784
1989,22118436,39859834880,35.63,4.232,0.352,0.604,0.002,5.187
1990,22892657,41570971648,35.934,4.664,0.403,0.752,0.002,5.819
1991,23646516,42852786176,33.324,3.774,0.352,0.709,0.002,4.834
1992,24382466,43098107904,36.085,4.364,0.421,0.751,0.002,5.536
1993,25117193,43754840064,37.225,5.284,0.352,0.706,0.002,6.342
1994,25857135,45663580160,38.043,5.536,0.293,0.724,0.002,6.553
1995,26601754,48490926080,40.418,6.398,0.37,0.781,0.002,7.549
1996,27344212,51489484800,42.29,8.064,0.352,0.876,0.002,9.292
1997,28101763,52761219072,39.314,7.262,0.245,0.702,0.002,8.21
1998,28888063,55518265344,43.32,9.12,0.198,0.642,0.002,9.96
1999,29733411,57993146368,41.109,9.252,0.194,0.625,0.002,10.071
2000,30642894,59408908288,45.629,9.662,0.176,0.571,0.002,10.409
2001,31619172,62956470272,46.441,8.53,0.176,0.572,0.002,9.278
2002,32629809,64478126080,46.869,6.969,0.264,0.658,0.002,7.891
2003,33652233,67617075200,44.622,5.679,0.245,0.773,0.002,6.697
2004,34713452,72070029312,48.016,6.441,0.286,0.863,0.002,7.59
2005,35796483,77598826496,52.135,7.164,0.333,1.058,0.002,8.555
2006,36904009,83653246976,57.201,8.039,0.443,1.083,0.002,9.566
2007,38036354,91060346880,57.553,8.156,0.4,1.269,0.003,9.824
2008,39206349,92971180032,56.804,8.413,0.41,1.41,0.003,10.233
2009,40408887,97792491520,62.046,10.321,0.366,1.655,0.003,12.343
2010,41598570,108082159616,67.372,9.688,0.627,1.849,0.003,12.163
2011,42758466,117152104448,69.645,10.201,1.015,2.232,0.003,13.448
2012,43888306,122504790016,68.87,9.285,0.909,2.312,0.003,12.506
2013,44986794,127157518336,72.584,9.932,1.004,2.522,0.003,13.458
2014,46051441,133540831232,75.853,10.365,1.246,2.921,0.003,14.532
2015,47088527,140175147008,89.576,12.517,1.322,3.159,0.003,16.998
2016,48139682,146082119680,94.189,13.487,1.304,3.343,0.003,18.135
2017,49197760,151656611840,94.943,13.376,1.228,3.105,0.003,17.709
2018,50207110,160257048576,102.268,13.994,1.839,3.005,0.003,18.838
2019,51202829,168452587520,99.169,15.199,1.623,2.974,0.003,19.796
2020,52217327,168031453184,98.883,16.11,2.18,3.692,0.003,21.982
2021,53219165,180662403072,103.504,15.174,2.531,4.609,0.004,22.314
2022,54252456,190362157056,103.504,13.733,2.779,4.885,0.004,21.397
2023,55339007,190362157056,103.504,13.666,3.101,4.763,0.004,21.531
1950,37870,6664092160,0.124,0.007,0,0,0,0.007
1951,38645,6664092160,0.124,0.007,0,0,0,0.007
1952,39449,6664092160,0.124,0.007,0,0,0,0.007
1953,40285,6664092160,0.124,0.007,0,0,0,0.007
1954,41151,6664092160,0.124,0.007,0,0,0,0.007
1955,42061,6664092160,0.124,0.007,0,0,0,0.007
1956,43009,6664092160,0.124,0.007,0,0,0,0.007
1957,43992,6664092160,0.124,0.007,0,0,0,0.007
1958,45005,6664092160,0.124,0.007,0,0,0,0.007
1959,46061,6664092160,0.124,0.007,0,0,0,0.007
1960,47178,6664092160,0.124,0.007,0,0,0,0.007
1961,48347,6664092160,0.124,0.007,0,0,0,0.007
1962,49562,6664092160,0.124,0.011,0,0,0,0.011
1963,50811,6664092160,0.124,0.018,0,0,0,0.018
1964,52106,6664092160,0.124,0.018,0,0,0,0.018
1965,53452,6664092160,0.124,0.011,0,0,0,0.011
1966,54448,6664092160,0.124,0.011,0,0,0,0.011
1967,55016,6664092160,0.124,0.022,0,0,0,0.022
1968,55546,6664092160,0.124,0.033,0,0,0,0.033
1969,56380,6664092160,0.124,0.011,0,0,0,0.011
1970,57529,6664092160,0.124,0.022,0,0,0,0.022
1971,58671,6664092160,0.124,0.029,0,0,0,0.029
1972,59796,6664092160,0.124,0.026,0,0,0,0.026
1973,60837,6664092160,0.124,0.037,0,0,0,0.037
1974,61236,6664092160,0.124,0.033,0,0,0,0.033
1975,61011,6664092160,0.124,0.033,0,0,0,0.033
1976,60683,6664092160,0.124,0.033,0,0,0,0.033
1977,60284,6664092160,0.124,0.022,0,0,0,0.022
1978,59878,6664092160,0.124,0.022,0,0,0,0.022
1979,60191,6664092160,0.124,0.026,0,0,0,0.026
1980,61170,6664092160,0.124,0.029,0,0,0,0.029
1981,62137,6664092160,0.124,0.029,0,0,0,0.029
1982,63146,6664092160,0.124,0.026,0,0,0,0.026
1983,64183,6664092160,0.124,0.022,0,0,0,0.022
1984,65244,6664092160,0.062,0.022,0,0,0,0.022
1985,66510,6664092160,0.062,0.022,0,0,0,0.022
1986,68079,6664092160,0.064,0.018,0,0,0,0.018
1987,69748,6664092160,0.075,0.022,0,0,0,0.022
1988,71445,6664092160,0.076,0.022,0,0,0,0.022
1989,73165,6664092160,0.075,0.022,0,0,0,0.022
1990,74871,6664092160,0.075,0.022,0,0,0,0.022
1991,76385,6664092160,0.076,0.022,0,0,0,0.022
1992,77655,6664092160,0.076,0.026,0,0,0,0.026
1993,78854,6664092160,0.075,0.029,0,0,0,0.029
1994,80033,6664092160,0.075,0.029,0,0,0,0.029
1995,81252,6664092160,0.075,0.029,0,0,0,0.029
1996,82637,6664092160,0.076,0.029,0,0,0,0.029
1997,84161,6664092160,0.075,0.029,0,0,0,0.029
1998,85671,6664092160,0.075,0.029,0,0,0,0.029
1999,87138,6664092160,0.075,0.029,0,0,0,0.029
2000,88631,6664092160,0.145,0.037,0,0,0,0.037
2001,90350,6664092160,0.124,0.037,0,0,0,0.037
2002,92280,6664092160,0.182,0.037,0,0,0,0.037
2003,94190,6664092160,0.189,0.04,0,0,0,0.04
2004,96095,6664092160,0.203,0.04,0,0,0,0.04
2005,98046,6664092160,0.265,0.048,0,0,0,0.048
2006,100028,6664092160,0.295,0.048,0,0,0,0.048
2007,102082,6664092160,0.27,0.048,0,0,0,0.048
2008,104235,6664092160,0.302,0.048,0,0,0,0.048
2009,106479,6664092160,0.264,0.048,0,0,0,0.048
2010,108717,6664092160,0.262,0.059,0,0,0,0.059
2011,110661,6664092160,0.242,0.055,0,0,0,0.055
2012,112293,6664092160,0.239,0.051,0,0,0,0.051
2013,113847,6664092160,0.242,0.051,0,0,0,0.051
2014,115338,6664092160,0.244,0.059,0,0,0,0.059
2015,116826,6664092160,0.263,0.055,0,0,0,0.055
2016,118489,6664092160,0.282,0.055,0,0,0,0.055
2017,120288,6664092160,0.318,0.066,0,0,0,0.066
2018,122097,6664092160,0.32,0.066,0,0,0,0.066
2019,123928,6664092160,0.322,0.066,0,0,0,0.066
2020,126110,6664092160,0.306,0.066,0,0,0,0.066
2021,128386,6664092160,0.315,0.066,0,0,0,0.066
2022,130481,6664092160,0.315,0.068,0,0,0,0.068
2023,132539,6664092160,0.315,0.069,0,0,0,0.069
1950,153972,6664092160,79.222,0.385,0,0,0,0.385
1951,158462,7223878656,79.222,0.117,0,0,0,0.117
1952,163170,7656960000,79.222,0,0,0,0,0
1953,168102,8416748032,79.222,0,0,0,0,0
1954,173256,9376418816,79.222,1.403,0,0,0,1.403
1955,186126,9596417024,79.222,1.847,0,0,0,1.847
1956,207222,10302679040,79.222,1.041,0,0,0,1.041
1957,227051,10669118464,79.222,2.198,0,0,0,2.198
1958,250215,11195772928,79.222,3.69,0,0,0,3.69
1959,279532,12348605440,79.222,3.8,0,0,0,3.8
1960,311065,13421786112,79.222,5.991,0,0,0,7.797
1961,345953,13541385216,79.222,8.09,0,0,0,9.973
1962,385005,15100911616,79.222,11.735,0,0,0.001,14.279
1963,427702,15913706496,79.222,14.095,0,0,0.001,17.012
1964,473124,17473587200,79.222,4.341,0,0,0.001,25.315
1965,521179,17859850240,79.222,13.16,0,0,0.001,35.391
1966,572598,20059131904,82.881,11.318,0,0,0.001,35.123
1967,628102,20539107328,84.358,2.026,0,0,0.001,25.421
1968,687726,22458034176,88.777,0,0,0,0.001,23.149
1969,749461,23071219712,90.937,1.565,0,0,0.001,26.809
1970,809118,36573028352,73.408,0.278,0,0,0.001,25.021
1971,865081,39111966720,73.157,0.344,0,0,0.001,27.117
1972,920357,40651100160,80.958,1.026,0,0,0.001,27.612
1973,977664,38012723200,80.664,1.653,0,0,0.001,24.223
1974,1038354,33154324480,77.401,1.752,0,0.113,0.001,19.312
1975,1104867,29149523968,69.007,2.048,0,0.142,0.001,16.813
1976,1178715,31027773440,82.298,4.387,0,0.162,0.002,18.456
1977,1258029,29840861184,84.139,4.224,0,0.16,0.002,17.201
1978,1340322,31993714688,92.413,5.28,0,0.299,0.002,20.972
1979,1423523,36387115008,112.727,4.337,0,0.491,0.002,17.628
1980,1504788,28976093184,84.724,6.5,0,0.613,0.002,24.616
1981,1583426,23490748416,108.709,11.014,0,0.719,0.002,25.14
1982,1662488,20732805120,106.922,10.386,0,0.711,0.001,21.09
1983,1744301,22378727424,118.033,9.867,0,0.51,0.001,21.541
1984,1820693,23551125504,125.782,15.733,0,0.53,0.001,28.285
1985,1894254,22552705024,120.555,16.23,0,0.528,0.001,29.07
1986,1972520,24471404544,138.048,19.987,0,0.444,0.001,35.23
1987,2053007,23484702720,127.516,15.147,0,0.439,0.001,31.378
1988,2134707,24303263744,143.994,16.422,0,0.38,0.001,32.825
1989,2217471,26123149312,155.05,15.836,0,0.469,0.001,35.772
1990,1684833,20899600384,91.493,22.117,0,0.376,0.001,37.807
1991,1351404,5968350720,46.121,464.529,0,0.041,0.002,492.841
1992,1634968,18278670336,81.675,21.02,0,0.219,0.002,29.648
1993,1672159,29845168128,100.173,33.357,0,0.204,0.002,49.129
1994,1664372,38842908672,116.934,39.278,0,0.405,0.002,57.197
1995,1681518,46090592256,150.55,35.035,0,0.784,0.002,56.128
1996,1730255,51809718272,149.02,30.301,0,0.798,0.002,51.627
1997,1787692,57062985728,155.051,35.105,0,0.792,0.002,56.621
1998,1844306,62305861632,190.984,32.092,0,0.528,0.002,52.812
1999,1900035,64236404736,198.265,35.928,0,0.559,0.002,54.978
2000,1954713,71053967360,211.943,31.277,0,0.459,0.002,54.89
2001,2008127,75867439104,214.305,36.28,0,0.349,0.002,59.051
2002,2059983,83636158464,226.83,38.798,0,0.588,0.002,59.986
2003,2109887,104974065664,271.091,37.296,0,0.678,0.002,62.336
2004,2157328,123477843968,302.865,38.926,0,0.938,0.002,65.631
2005,2236797,142799929344,334.093,44.888,0.001,0.747,0.002,74.428
2006,2364741,159619973120,321.131,45.881,0.002,0.776,0.002,76.05
2007,2507891,174545813504,311.961,48.059,0.002,0.797,0.002,77.16
2008,2651433,183755522048,337.758,54.363,0.001,0.931,0.002,84.282
2009,2795490,175302344704,342.904,61.749,0.002,0.719,0.002,88.719
2010,2943372,176036954112,392.964,60.005,0.003,0.717,0.002,90.873
2011,3132816,201228681216,394.17,52.191,0.051,0.796,0.003,87.968
2012,3337025,214560079872,397.862,64.072,0.532,0.835,0.003,102.298
2013,3507754,217029672960,424.328,45.675,0.589,1.045,0.003,84.313
2014,3665769,218112638976,413.653,37.721,0.811,0.978,0.003,76.435
2015,3834464,219406041088,444.583,51.838,0.847,1.083,0.003,94.508
2016,4003976,225825865728,442.969,64.391,0.778,1.397,0.003,109.905
2017,4154685,215180427264,445.476,58.811,0.534,1.187,0.003,103.95
2018,4323388,220424404992,459.946,60.383,0.746,1.187,0.003,106.723
2019,4442202,219207647232,420.261,58.968,0.578,1.362,0.003,108.549
2020,4400146,199796817920,397.881,41.229,0.163,1.187,0.003,95.655
2021,4360749,202410131456,424.15,38.259,0.278,1.222,0.003,95.13
2022,4589514,218961231872,432.4,35.501,0.337,1.222,0.003,97.461
2023,4838780,218961231872,438.113,34.954,0.337,1.222,0.003,99.233
1950,1751142,18780450816,82.738,0.722,3.067,0.057,0,3.873
1951,1787519,18780450816,82.738,0.779,3.323,0.067,0,4.199
1952,1824594,18780450816,82.738,0.877,3.513,0.076,0,4.497
1953,1862537,18780450816,82.738,0.967,3.673,0.086,0,4.758
1954,1902148,18780450816,82.738,1.072,3.988,0.103,0,5.198
1955,1944408,18780450816,82.738,1.249,4.482,0.122,0,5.895
1956,1989626,18780450816,82.738,1.452,4.82,0.135,0,6.464
1957,2038323,18780450816,82.738,1.648,5.18,0.157,0,7.075
1958,2090858,18780450816,82.738,1.854,5.384,0.182,0,7.552
1959,2149299,18780450816,82.738,2.033,5.528,0.212,0,7.943
1960,2215516,18780450816,82.738,2.232,5.574,0.249,0,8.273
1961,2288674,18780450816,82.738,2.437,5.533,0.278,0,8.533
1962,2367300,18780450816,82.738,2.743,5.542,0.314,0,8.957
1963,2449248,18780450816,82.738,3.027,5.801,0.335,0,9.603
1964,2532152,18780450816,82.738,3.276,6.037,0.357,0,10.211
1965,2615064,18780450816,82.738,3.517,6.287,0.398,0,10.832
1966,2697631,18780450816,82.738,3.773,6.526,0.441,0,11.441
1967,2780172,18780450816,82.738,4.126,6.6,0.468,0,11.963
1968,2862893,18780450816,82.738,4.416,6.561,0.483,0,12.298
1969,2944842,18780450816,82.738,4.741,6.67,0.497,0,12.807
1970,3025143,18780450816,82.738,5.103,7.024,0.528,0,13.477
1971,3101444,18780450816,82.738,5.435,7.167,0.553,0,14.301
1972,3173948,18780450816,82.738,5.903,7.387,0.572,0,15.046
1973,3244873,18780450816,82.738,6.342,7.463,0.597,0,15.682
1974,3314024,18780450816,82.738,6.801,7.487,0.624,0,16.279
1975,3381368,18780450816,82.738,7.213,7.738,0.658,0.001,17.109
1976,3447009,18780450816,82.738,7.434,7.997,0.657,0.001,17.753
1977,3514133,18780450816,82.738,7.729,8.159,0.66,0.001,18.343
1978,3584532,18780450816,82.738,8.298,8.122,0.648,0.001,18.961
1979,3656194,18780450816,82.738,8.43,8.223,0.616,0.001,19.1
1980,3729371,21185714176,82.738,8.643,8.678,0.615,0.001,19.841
1981,3804456,21362532352,82.738,8.832,7.954,0.618,0.001,19.452
1982,3882822,21544910848,82.738,8.931,8.117,0.594,0.001,19.81
1983,3965767,23019999232,82.738,9.01,8.133,0.608,0.001,20.081
1984,4039346,23354345472,82.738,8.915,8.187,0.611,0.001,20.246
1985,4102391,22495180800,82.738,9.052,9.381,0.606,0.001,21.829
1986,4168594,22136344576,82.738,8.56,10.092,0.618,0.001,21.817
1987,4238470,21884309504,82.738,7.534,10.066,0.62,0.001,21.212
1988,4308022,24099774464,82.738,7.748,8.827,0.62,0.001,21.346
1989,4381998,24601434112,82.738,7.307,8.324,0.615,0.001,20.724
1990,4459545,25164234752,82.738,7.544,7.088,0.592,0.001,19.198
1991,4532120,22948278272,82.738,5.843,6.167,0.563,0.001,15.893
1992,4600309,19580870656,82.738,3.686,3.814,0.467,0.001,11.042
1993,4626809,16865849344,72.467,2.429,3.437,0.286,0.001,8.468
1994,4649190,13389775872,64.11,0.825,3.424,0.18,0.001,6.144
1995,4713639,12537052160,54.608,1.396,1.246,0.136,0.001,4.507
1996,4782884,13289582592,67.995,1.543,1.854,0.233,0.001,5.652
1997,4847998,14463585280,64.12,1.674,1.942,0.281,0.001,5.561
1998,4907792,14624137216,64.351,1.707,1.938,0.302,0.001,5.901
1999,4968592,15009645568,69.226,1.411,1.916,0.165,0.001,4.642
2000,5025151,15667564544,69.966,1.205,1.865,0.193,0.001,4.575
2001,5071961,16336534528,66.388,1.086,1.229,0.2,0.001,3.857
2002,5116253,16170496000,56.687,1.004,1.986,0.227,0.001,4.917
2003,5159422,17135753216,59.906,1.246,2.407,0.319,0.001,5.376
2004,5203048,18155687936,61.144,1.543,2.363,0.371,0.001,5.808
2005,5246337,17942167552,57.57,1.37,2.319,0.415,0.001,5.519
2006,5282453,18316466176,58.669,1.272,2.226,0.485,0.001,5.461
2007,5313373,19684075520,64.386,2.235,2.305,0.51,0.001,6.522
2008,5342531,20960395264,61.474,2.423,3.193,0.435,0.001,7.481
2009,5398013,21348200448,62.067,3.122,2.752,0.213,0.001,6.709
2010,5491763,21037148160,59.424,2.755,2.682,0.354,0.001,6.356
2011,5594537,22069321728,67.648,3.638,2.865,0.479,0.001,7.62
2012,5696519,22049906688,76.529,4.672,4.016,0.582,0.001,10.087
2013,5797296,24456652800,71.866,4.796,3.576,0.735,0.001,9.734
2014,5898324,25440782336,73.128,4.4,4.503,0.816,0.001,10.236
2015,6001876,26426865664,65.64,4.719,4.338,0.683,0.001,10.265
2016,6108460,27572738048,66.994,4.99,3.481,0.605,0.001,9.622
2017,6220146,28879683584,69.386,4.708,3.389,0.684,0.001,9.361
2018,6341733,29878638592,73.306,5.573,4.041,0.916,0.001,11.172
2019,6494036,31253354496,66.918,4.331,3.169,0.924,0.001,9.043
2020,6664142,28560252928,67.075,3.636,3.174,0.889,0.001,8.348
2021,6820483,29628979200,60.542,4.233,4.156,1.171,0.001,10.327
2022,6955792,31703001088,60.542,4.346,3.791,1.171,0.001,10.032
2023,7073523,31703001088,60.542,4.347,3.847,1.171,0.001,10.152
1950,1918725,30281465856,106.289,2.602,1.833,0.02,0,4.526
1951,1933918,30281465856,106.289,2.812,1.991,0.024,0,4.905
1952,1949540,30281465856,106.289,3.093,2.056,0.027,0,5.253
1953,1965203,30281465856,106.289,3.341,2.105,0.031,0,5.558
1954,1982038,30281465856,106.289,3.676,2.269,0.037,0,6.07
1955,2000467,30281465856,106.289,4.223,2.513,0.044,0,6.883
1956,2019509,30281465856,106.289,4.75,2.615,0.049,0,7.549
1957,2040120,30281465856,106.289,5.258,2.741,0.057,0,8.261
1958,2063295,30281465856,106.289,5.708,2.75,0.065,0,8.82
1959,2096984,30281465856,106.289,6.085,2.745,0.076,0,9.274
1960,2131169,30281465856,106.289,6.444,2.67,0.09,0,9.658
1961,2157174,30281465856,106.289,6.75,2.542,0.1,0,9.963
1962,2182288,30281465856,106.289,7.241,2.427,0.113,0,10.462
1963,2205804,30281465856,106.289,7.801,2.479,0.121,0,11.222
1964,2229752,30281465856,106.289,8.286,2.532,0.128,0,11.936
1965,2252770,30281465856,106.289,8.779,2.603,0.143,0,12.663
1966,2274355,30281465856,106.289,9.299,2.668,0.159,0,13.375
1967,2296080,30281465856,106.289,9.871,2.619,0.168,0.001,13.99
1968,2317285,30281465856,106.289,10.273,2.531,0.174,0.001,14.387
1969,2337665,30281465856,106.289,10.805,2.522,0.179,0.001,14.986
1970,2357562,30281465856,106.289,11.582,2.644,0.19,0.001,15.766
1971,2377074,30281465856,106.289,12.262,2.682,0.204,0.001,16.738
1972,2395872,30281465856,106.289,13.06,2.711,0.216,0.001,17.621
1973,2415775,30281465856,106.289,13.758,2.686,0.231,0.001,18.377
1974,2436992,30281465856,106.289,14.436,2.636,0.248,0.001,19.09
1975,2455780,30281465856,106.289,15.184,2.702,0.268,0.001,20.076
1976,2470541,30281465856,106.289,15.654,2.793,0.274,0.001,20.85
1977,2484607,30281465856,106.289,16.17,2.831,0.282,0.001,21.562
1978,2497363,30281465856,106.289,16.937,2.75,0.284,0.001,22.307
1979,2505526,30281465856,106.289,17.032,2.756,0.277,0.001,22.491
1980,2511754,34684694528,106.289,17.605,2.932,0.283,0.001,23.375
1981,2519972,35441553408,106.289,17.386,2.597,0.291,0.001,22.945
1982,2532018,36216127488,106.289,17.594,2.652,0.287,0.001,23.376
1983,2546977,36943818752,106.289,17.698,2.65,0.301,0.001,23.716
1984,2562773,37996957696,106.289,17.577,2.677,0.309,0.001,23.931
1985,2579236,37201219584,106.289,18.463,3.174,0.314,0.001,25.797
1986,2599784,38189518848,98.769,15.475,4.025,0.328,0.001,23.59
1987,2625969,38039138304,90.123,11,3.658,0.337,0.001,19.281
1988,2652251,39628009472,85.057,9.982,3.789,0.346,0.001,18.853
1989,2664839,41772724224,85.037,9.837,3.083,0.351,0.001,17.931
1990,2660130,42100703232,86.466,10.462,2.812,0.346,0.001,19.662
1991,2648934,36517761024,79.68,9.293,2.455,0.32,0.001,17.92
1992,2614832,24594370560,57.035,7.795,2.163,0.142,0.001,14.194
1993,2563820,21610170368,49.156,7.27,1.995,0.016,0.001,11.922
1994,2521237,21908377600,47.623,6.866,1.521,0.077,0.001,10.37
1995,2485951,21602326528,44.568,5.598,1.111,0.094,0.001,9.134
1996,2457910,21944518656,41.465,6.056,1.04,0.106,0.001,9.212
1997,2433230,23733280768,41.772,5.182,0.941,0.108,0.001,8.68
1998,2410219,25089220608,45.462,5.091,0.703,0.105,0.001,8.306
1999,2390825,25549230080,38.594,4.739,0.539,0.139,0.001,7.718
2000,2368321,26727290880,37.754,3.88,0.57,0.088,0.001,7.082
2001,2338300,28242587648,40.664,3.92,0.526,0.11,0.001,7.497
2002,2311356,30014855168,41.022,3.936,0.436,0.117,0.001,7.52
2003,2288983,32298350592,40.519,4.058,0.388,0.129,0.001,7.726
2004,2264178,34720423936,45.556,4.162,0.322,0.137,0.001,7.731
2005,2239787,38143684608,46.958,4.13,0.362,0.134,0.001,7.811
2006,2219038,42361249792,44.543,4.473,0.381,0.169,0.001,8.31
2007,2200772,46228819968,45.926,4.832,0.454,0.171,0.001,8.637
2008,2177711,44217430016,46.243,4.471,0.44,0.168,0.001,8.198
2009,2142043,37590728704,43.821,4.072,0.362,0.178,0.001,7.456
